CampaignID,StartDate,EndDate,Channel,Impressions,Clicks,Leads,Conversions,Cost_USD,Revenue_USD,ROI,Campaign_Duration,CTR,Lead_Conversion_Rate,Conversion_Rate,CPC,CPL,Cost_Per_Conversion,Revenue_Per_Click
CAMP00011,2025-11-27,2025-12-04,Social,53998,1343,140,55,2491.07,4360.88,75.06051616373685,7,2.48712915293159,10.424422933730455,4.095309009679822,1.854854802680566,17.793357142857143,45.292181818181824,3.247118391660462
CAMP00012,2025-03-29,2025-04-06,Search,107304,7128,918,463,3882.92,7276.43,87.39582582180422,8,6.642809214940729,12.878787878787879,6.495510662177328,0.5447418630751965,4.229760348583878,8.386436285097192,1.0208235129068464
CAMP00013,2025-04-10,2025-04-15,Email,194692,11436,2217,936,973.85,2310.62,137.2665194845202,5,5.873893123497627,19.386149003147953,8.184679958027283,0.08515652325988107,0.43926477221470456,1.0404380341880342,0.2020479188527457
CAMP00014,2025-12-26,2025-12-31,Search,207001,14356,4255,1931,2479.11,2827.93,14.070372028671569,5,6.935232196945909,29.63917525773196,13.450821955976593,0.17268807467261077,0.5826345475910694,1.2838477472812015,0.19698592922819727
CAMP00015,2025-06-01,2025-06-06,Email,257862,23315,6190,1642,684.67,2001.69,192.358362422773,5,9.041657941069255,26.54943169633283,7.042676388591036,0.029366073343341195,0.11060904684975767,0.416973203410475,0.0858541711344628
CAMP00016,2025-05-11,2025-05-24,Display,159957,8149,4006,1434,4229.14,8648.05,104.48720070747241,13,5.09449414530155,49.15940606209351,17.597251196465823,0.5189765615412935,1.0557014478282576,2.9491910739191076,1.0612406430236838
CAMP00017,2025-05-30,2025-06-14,Social,12103,168,80,38,4112.15,11010.78,167.76211957248645,15,1.3880855986119145,47.61904761904761,22.61904761904762,24.477083333333333,51.401875,108.21447368421052,65.54035714285715
CAMP00018,2025-11-05,2025-11-17,Email,281690,22173,5700,1618,3399.93,5565.65,63.69895850796928,12,7.8714189357094675,25.70694087403599,7.297163216524602,0.15333649032607224,0.596478947368421,2.1013164400494437,0.2510102376764533
CAMP00019,2025-09-15,2025-09-24,Search,260948,21678,9055,3562,4608.11,7497.56,62.70358129471738,9,8.30740224105952,41.770458529384626,16.431405111172616,0.21257080911523202,0.5089022639425731,1.2936861313868613,0.34586031921764004
CAMP00020,2025-12-10,2025-12-19,Search,151528,2195,778,338,2059.75,5783.01,180.76271392159245,9,1.4485771606567763,35.44419134396355,15.398633257403189,0.9383826879271071,2.6474935732647813,6.093934911242603,2.6346287015945333
CAMP00021,2025-10-21,2025-11-03,Display,285372,9090,1793,924,746.69,922.13,23.49569433098072,13,3.185316008578277,19.724972497249723,10.165016501650165,0.08214411441144115,0.4164472950362521,0.8081060606060607,0.10144444444444445
CAMP00022,2025-07-11,2025-07-18,Influencer,267190,21202,10017,2870,4880.6,5893.6,20.755644797770763,7,7.93517721471612,47.24554287331384,13.536458824639187,0.23019526459767947,0.4872317060996307,1.7005574912891988,0.27797377605886237
CAMP00023,2025-10-04,2025-10-11,Influencer,221014,9692,1975,1167,2614.07,6258.53,139.41707758399735,7,4.385242563819487,20.377631035905903,12.040858439950474,0.269714197276104,1.323579746835443,2.2399914310197087,0.6457418489475856
CAMP00024,2025-06-10,2025-06-21,Search,120965,6355,2847,1671,2430.02,4694.93,93.20540571682538,11,5.25358574794362,44.7993705743509,26.294256490952005,0.38237922895357984,0.8535370565507552,1.4542309994015559,0.7387773406766326
CAMP00025,2025-11-10,2025-11-23,Influencer,20930,1759,624,127,412.25,1003.68,143.46391752577318,13,8.404204491161012,35.474701534963046,7.220011370096646,0.23436611711199545,0.6606570512820513,3.2460629921259843,0.5705969300739056
CAMP00026,2025-01-22,2025-02-01,Social,85823,1589,553,191,2894.85,5401.22,86.58030640620413,10,1.851485033149622,34.801762114537446,12.020138451856512,1.821806167400881,5.234810126582278,15.156282722513089,3.399131529263688
CAMP00027,2025-09-10,2025-09-16,Influencer,256025,18166,7908,1796,3259.23,4639.47,42.348652902679476,6,7.0954008397617425,43.53187272927447,9.886601343168557,0.17941373995375978,0.41214339908952957,1.8147160356347438,0.2553930419464935
CAMP00028,2025-08-24,2025-08-29,Social,204494,6001,1786,583,2418.62,5878.43,143.04892872795233,5,2.934560427200798,29.76170638226962,9.715047492084652,0.40303616063989334,1.3542105263157893,4.148576329331046,0.9795750708215298
CAMP00029,2025-12-11,2025-12-17,Search,83880,1311,578,255,4561.0,4917.26,7.811006358254774,6,1.5629470672389127,44.0884820747521,19.450800915331808,3.479023646071701,7.891003460207613,17.886274509803922,3.7507704042715484
CAMP00030,2025-02-18,2025-02-23,Search,223626,15569,4983,2209,3737.65,7086.3,89.5923909408318,5,6.962070600019676,32.00590917849573,14.188451409852911,0.24007001091913419,0.7500802729279551,1.6920099592575826,0.4551544736335025
CAMP00031,2025-02-28,2025-03-14,Search,177827,3721,1837,438,289.24,554.56,91.73005116857969,14,2.09248314372958,49.368449341574845,11.771029293200751,0.07773179252889009,0.15745236799129014,0.660365296803653,0.14903520558989516
CAMP00032,2025-06-19,2025-07-03,Display,188552,14561,5299,2495,2758.59,3188.53,15.585498388669574,14,7.722538079680937,36.391731337133436,17.134812169493856,0.1894505871849461,0.520586903189281,1.1056472945891784,0.2189774053979809
CAMP00033,2025-07-07,2025-07-20,Influencer,12293,347,86,46,4969.0,7370.33,48.32622257999598,13,2.8227446514276417,24.78386167146974,13.256484149855908,14.319884726224783,57.77906976744186,108.02173913043478,21.24014409221902
CAMP00034,2025-09-28,2025-10-12,Email,73542,1056,428,193,1078.76,1639.65,51.99395602358264,14,1.4359141714938402,40.53030303030303,18.276515151515152,1.0215530303030302,2.520467289719626,5.589430051813472,1.5526988636363637
CAMP00035,2025-07-09,2025-07-21,Email,65528,1240,376,121,3124.16,8703.85,178.5980871658302,12,1.8923208399462825,30.32258064516129,9.758064516129032,2.5194838709677416,8.308936170212766,25.819504132231405,7.019233870967742
CAMP00036,2025-06-24,2025-07-05,Search,113885,9761,4123,828,1440.13,2916.67,102.5282439779742,11,8.570926812135049,42.23952463886897,8.482737424444217,0.14753918655875423,0.349291777831676,1.7392874396135267,0.2988085237168323
CAMP00037,2025-02-20,2025-02-27,Influencer,150771,6541,2834,1301,1920.27,4496.36,134.15248897290485,7,4.3383674579328915,43.32670845436478,19.88992508790705,0.2935743770065739,0.6775829216654905,1.4759953881629515,0.6874117107475921
CAMP00038,2025-12-30,2026-01-11,Social,164506,6120,2122,999,264.81,293.89,10.981458404138811,12,3.7202290493963743,34.673202614379086,16.323529411764707,0.043269607843137256,0.12479264844486333,0.26507507507507505,0.048021241830065356
CAMP00039,2025-02-24,2025-03-02,Email,59669,3234,1451,701,3470.79,4189.11,20.696152749085936,6,5.419899780455513,44.867037724180584,21.675943104514534,1.0732189239332097,2.3919986216402482,4.951198288159771,1.295333951762523
CAMP00040,2025-09-01,2025-09-07,Search,284746,19067,4983,1074,3852.05,8192.31,112.67403071092012,6,6.696143229404451,26.134158493732627,5.632768657890597,0.20202706246394295,0.7730383303230985,3.586638733705773,0.42965909686893583
CAMP00041,2025-11-16,2025-12-01,Email,176858,2359,290,117,3887.29,10379.97,167.02329900779205,15,1.3338384466634248,12.293344637558286,4.959728698601102,1.647855023314964,13.40444827586207,33.224700854700856,4.400156846121238
CAMP00042,2025-05-11,2025-05-25,Email,277096,25170,9188,3357,4855.66,5370.17,10.59608786447157,14,9.083494528971908,36.50377433452523,13.337306317044101,0.1929145808502185,0.5284784501523726,1.4464283586535598,0.2133559793404847
CAMP00043,2025-11-03,2025-11-10,Email,121032,11650,4727,2396,4205.6,12477.79,196.69464523492485,7,9.625553572608897,40.57510729613734,20.566523605150213,0.3609957081545065,0.8896974825470702,1.7552587646076796,1.0710549356223176
CAMP00044,2025-05-15,2025-05-26,Search,37905,1802,232,113,1117.27,3095.83,177.08879679934125,11,4.753990238754781,12.874583795782463,6.270810210876804,0.6200166481687014,4.815818965517241,9.887345132743363,1.7179966703662597
CAMP00045,2025-01-21,2025-01-26,Search,182996,8625,3522,2043,1229.73,3377.2,174.6293901913428,5,4.713217775251918,40.834782608695654,23.68695652173913,0.14257739130434782,0.34915672913117546,0.6019236417033774,0.3915594202898551
CAMP00046,2025-11-25,2025-12-07,Display,18381,1637,582,325,3863.15,3930.17,1.7348536815810927,12,8.905935476851095,35.55284056200366,19.853390348197923,2.35989615149664,6.637714776632302,11.886615384615386,2.40083689676237
CAMP00047,2025-06-16,2025-06-27,Display,255666,12435,1822,771,3906.84,7082.26,81.27847569903042,11,4.8637675717537725,14.652191395255329,6.200241254523522,0.31418094089264176,2.144259055982437,5.067237354085603,0.5695424205870527
CAMP00048,2025-10-01,2025-10-09,Display,295274,25705,8122,4809,702.91,1821.61,159.15266534833762,8,8.70547356015091,31.596965570900604,18.708422485897685,0.027345263567399337,0.08654395469096281,0.14616552297775004,0.07086597938144329
CAMP00049,2025-03-30,2025-04-08,Email,35415,444,63,16,132.5,333.53,151.72075471698113,9,1.2537060567556122,14.18918918918919,3.6036036036036037,0.29842342342342343,2.1031746031746033,8.28125,0.7511936936936936
CAMP00050,2025-11-12,2025-11-26,Influencer,185200,10013,2289,464,2066.76,3495.47,69.12800712225898,14,5.40658747300216,22.86028163387596,4.633975831419155,0.20640767002896238,0.9029095674967236,4.4542241379310346,0.34909317886747226
CAMP00051,2025-01-14,2025-01-19,Search,89679,8583,3618,879,3503.9,9654.22,175.52784040640427,5,9.570802529020172,42.15309332401258,10.241174414540371,0.4082372130956542,0.9684632393587618,3.9862343572241183,1.1248071769777466
CAMP00052,2025-08-30,2025-09-07,Display,120458,3945,553,189,4346.66,9876.13,127.21192823915372,8,3.2750004150824354,14.017743979721168,4.790874524714829,1.1018149556400507,7.860144665461121,22.998201058201058,2.5034550063371355
CAMP00053,2025-09-22,2025-09-27,Influencer,136460,4633,1314,659,910.12,2719.35,198.7902694150222,5,3.3951341052323025,28.36175264407511,14.22404489531621,0.196442909561839,0.6926331811263318,1.381062215477997,0.5869522987265271
CAMP00054,2025-12-12,2025-12-17,Display,82652,5513,1887,666,4094.93,6836.28,66.9449783024374,5,6.670135023955863,34.22818791946309,12.080536912751679,0.7427770723743877,2.1700741918388977,6.148543543543544,1.2400290223109014
CAMP00055,2025-02-22,2025-03-08,Display,155878,14552,6929,3549,3453.83,7899.24,128.70957748354726,14,9.335505972619613,47.61544804837823,24.388400219901044,0.23734400769653655,0.4984600952518401,0.9731839954916878,0.5428284771852666
CAMP00056,2025-12-06,2025-12-11,Influencer,69333,1933,763,379,913.18,1688.45,84.89782956262731,5,2.787994173048909,39.47232281427832,19.606828763579927,0.47241593378168645,1.1968283093053735,2.4094459102902372,0.873486808070357
CAMP00057,2025-04-02,2025-04-13,Display,241388,22436,3493,1808,4379.09,10050.49,129.51092578595095,11,9.294579680845775,15.568728828668213,8.058477446960243,0.19518140488500624,1.2536759232751218,2.4220630530973453,0.44796264931360313
CAMP00058,2025-09-21,2025-10-02,Email,115930,8076,3937,1082,4671.64,7098.74,51.95391768201315,11,6.966272750797896,48.74938088162457,13.397721644378406,0.5784596334819218,1.1865989331978666,4.317597042513864,0.8789920752847944
CAMP00059,2025-02-04,2025-02-12,Email,271996,27029,7870,3198,1402.45,2475.26,76.4954187315056,8,9.93727848938955,29.11687446816382,11.831736283251322,0.05188686225905509,0.1782020330368488,0.4385397123202001,0.09157793481075882
CAMP00060,2025-07-25,2025-07-31,Email,251355,19173,4752,2305,828.59,2373.46,186.44564863201342,6,7.627857014978814,24.78485370051635,12.022114431752987,0.04321650237312888,0.1743665824915825,0.3594750542299349,0.12379179053877849
CAMP00061,2025-03-22,2025-03-29,Social,194889,13662,2069,648,4841.37,7640.26,57.811941661141375,7,7.010144235949695,15.144195578978186,4.743083003952568,0.35436758893280634,2.339956500724988,7.4712499999999995,0.5592343727126335
CAMP00062,2025-02-19,2025-03-03,Display,165120,13761,6514,3486,212.13,475.47,124.14085702163769,12,8.333938953488373,47.33667611365453,25.332461303684322,0.015415304120340092,0.032565244089653056,0.06085197934595525,0.03455199476782211
CAMP00063,2025-12-26,2026-01-07,Social,228622,5889,1969,1007,4747.16,13468.54,183.7178439319509,12,2.5758675892958682,33.435218203430125,17.099677364578028,0.8061062998811342,2.410949720670391,4.71416087388282,2.2870674138223808
CAMP00064,2025-01-02,2025-01-17,Search,118120,11237,5564,1379,1159.5,2274.99,96.2043984476067,15,9.51320690822892,49.51499510545519,12.27195870784017,0.10318590371095489,0.20839324227174694,0.840826686004351,0.20245528165880572
CAMP00065,2025-02-23,2025-03-10,Influencer,81596,2032,344,98,2246.84,5370.37,139.01879973651882,15,2.4903181528506297,16.92913385826772,4.822834645669291,1.105728346456693,6.531511627906977,22.926938775510205,2.642898622047244
CAMP00066,2025-04-16,2025-04-26,Search,246777,3037,966,284,1610.92,4021.01,149.60953989024907,10,1.2306657427556054,31.80770497201185,9.351333552848205,0.5304313467237406,1.6676190476190478,5.672253521126761,1.3240072439907804
CAMP00067,2025-09-17,2025-10-01,Social,260878,18993,2734,1507,853.17,1781.61,108.82239178592776,14,7.280414599927935,14.394777023113777,7.934502185015532,0.04492023377033644,0.3120592538405267,0.5661380225613802,0.09380350655504659
CAMP00068,2025-11-06,2025-11-19,Email,275353,7328,2269,623,1827.14,3211.78,75.78182295828452,13,2.6613111170025383,30.963427947598255,8.501637554585152,0.24933679039301312,0.805262230057294,2.932808988764045,0.4382887554585153
CAMP00069,2025-07-10,2025-07-25,Display,58482,4578,2087,936,2742.31,7176.22,161.68522158326374,15,7.828049656304505,45.587592835299255,20.445609436435124,0.5990192223678462,1.313996166746526,2.929818376068376,1.5675447793796418
CAMP00070,2025-08-06,2025-08-19,Display,154148,12571,1806,408,559.75,1180.08,110.82268870031263,13,8.155149596491682,14.366398854506404,3.245565189722377,0.044527086150664225,0.30993909191583613,1.3719362745098038,0.09387320022273486
CAMP00071,2025-02-13,2025-02-21,Email,122458,3833,796,335,4064.97,5009.16,23.227477693562317,8,3.1300527527805455,20.767023219410383,8.73989042525437,1.0605191755804853,5.106746231155778,12.13423880597015,1.3068510305243934
CAMP00072,2025-06-11,2025-06-16,Display,124614,2218,827,212,4021.87,11056.48,174.9089353957239,5,1.7798963198356526,37.2858431018936,9.558160504959423,1.8132867448151488,4.863204353083434,18.971084905660376,4.984887285843102
CAMP00073,2025-07-21,2025-07-26,Influencer,94484,5203,679,292,4007.66,6391.78,59.489078414835596,5,5.506752466025993,13.050163367288103,5.6121468383624835,0.7702594656928695,5.9022974963181145,13.724863013698629,1.2284797232365943
CAMP00074,2025-09-27,2025-10-11,Influencer,154151,13892,3911,1357,3463.6,6881.77,98.6883589329022,14,9.01194283527191,28.152893751799596,9.7682119205298,0.24932335156924848,0.8856047046791102,2.552394988946205,0.4953764756694501
CAMP00075,2025-12-17,2025-12-26,Influencer,186810,16113,3757,1661,2330.79,3327.47,42.761467142041965,9,8.625341255821423,23.316576677217153,10.30844659591634,0.14465276484825917,0.6203859462336971,1.4032450331125828,0.20650840935890274
CAMP00076,2025-10-31,2025-11-06,Search,279849,5747,2501,894,4185.25,8309.05,98.5317484021265,6,2.0536074811773495,43.518357403862886,15.555942230729075,0.7282495214894728,1.6734306277489004,4.681487695749441,1.4458065077431703
CAMP00077,2025-09-28,2025-10-08,Email,114165,11054,1322,716,4274.06,5378.93,25.85059638844564,10,9.682477116454255,11.959471684458114,6.477293287497739,0.3866527953681925,3.23302571860817,5.969357541899442,0.48660484892346667
CAMP00078,2025-08-03,2025-08-14,Influencer,15248,514,228,114,1498.74,3196.1,113.25246540427291,11,3.3709338929695702,44.3579766536965,22.17898832684825,2.9158365758754865,6.573421052631579,13.146842105263158,6.218093385214008
CAMP00079,2025-09-09,2025-09-14,Social,94169,3902,1488,800,2456.66,5025.25,104.55618604121044,5,4.143614140534571,38.134290107637106,20.502306509482317,0.6295899538698103,1.6509811827956988,3.0708249999999997,1.2878651973347002
CAMP00080,2025-07-09,2025-07-19,Influencer,100039,2342,512,147,1094.52,2886.06,163.68271022914155,10,2.341086976079329,21.861656703672075,6.27668659265585,0.4673441502988898,2.137734375,7.445714285714286,1.2323057216054654
CAMP00081,2025-10-23,2025-11-04,Search,12461,548,98,25,1353.37,2868.87,111.97972468726218,12,4.397720889174224,17.88321167883212,4.562043795620438,2.4696532846715327,13.809897959183672,54.1348,5.235164233576642
CAMP00082,2025-08-01,2025-08-10,Social,163070,10959,5261,2225,1270.87,2309.79,81.74872331552402,9,6.720426810572147,48.00620494570673,20.302947349210694,0.115965872798613,0.24156434137996577,0.5711775280898876,0.21076649329318367
CAMP00083,2025-07-27,2025-08-07,Email,148893,8270,2659,1460,4152.04,8024.53,93.26716505621333,11,5.554324246270812,32.15235792019347,17.654171704957676,0.5020604594921403,1.5615043249341858,2.84386301369863,0.9703180169286578
CAMP00084,2025-08-25,2025-09-08,Email,24870,2100,499,121,1329.0,2936.38,120.94657637321295,14,8.443908323281061,23.761904761904763,5.761904761904762,0.6328571428571429,2.6633266533066133,10.983471074380166,1.3982761904761905
CAMP00085,2025-12-04,2025-12-14,Influencer,18410,1246,146,42,2776.94,7439.86,167.9157633942397,10,6.768060836501902,11.717495987158909,3.3707865168539324,2.2286837881219905,19.02013698630137,66.11761904761904,5.97099518459069
CAMP00086,2025-02-22,2025-03-02,Social,92721,3126,519,258,3178.41,3443.69,8.346311520540151,8,3.3714045361892127,16.60268714011516,8.253358925143955,1.0167658349328215,6.124104046242774,12.319418604651162,1.1016282789507357
CAMP00087,2025-10-07,2025-10-18,Social,24133,1452,492,189,3748.95,10696.46,185.31882260366234,11,6.016657688642108,33.88429752066116,13.016528925619836,2.5819214876033056,7.619817073170731,19.835714285714285,7.366707988980716
CAMP00088,2025-08-05,2025-08-19,Influencer,290503,4583,1398,617,242.14,282.76,16.775419178987367,14,1.5776084928554954,30.504036657211437,13.46279729434868,0.05283438795548767,0.17320457796852645,0.39244732576985414,0.06169757800567314
CAMP00089,2025-09-09,2025-09-22,Influencer,197457,12295,4955,2163,2431.16,4107.2,68.93992991000181,13,6.226672136211935,40.30093533956893,17.592517283448554,0.19773566490443267,0.4906478304742684,1.123975959315765,0.33405449369662465
CAMP00090,2025-07-07,2025-07-21,Display,32400,1460,633,231,1533.78,2565.03,67.23584868755626,14,4.506172839506172,43.35616438356165,15.821917808219176,1.0505342465753424,2.4230331753554504,6.639740259740259,1.7568698630136987
CAMP00091,2025-02-10,2025-02-24,Display,39173,738,191,92,4186.47,8638.77,106.34974095120711,14,1.8839506803155235,25.880758807588077,12.466124661246612,5.6727235772357725,21.91869109947644,45.505108695652176,11.705650406504066
CAMP00092,2025-06-06,2025-06-17,Influencer,16179,609,85,45,280.07,478.73,70.9322669332667,11,3.7641386983126273,13.957307060755337,7.389162561576355,0.45988505747126435,3.294941176470588,6.223777777777777,0.7860919540229885
CAMP00093,2025-01-15,2025-01-24,Search,197958,17980,7490,4217,1114.27,1602.92,43.85382357956331,9,9.082734721506583,41.657397107897665,23.453837597330367,0.06197274749721913,0.14876769025367156,0.2642328669670382,0.08915016685205784
CAMP00094,2025-10-28,2025-11-08,Display,40495,2540,816,178,1647.22,2449.17,48.68505724796931,11,6.272379306087171,32.125984251968504,7.007874015748032,0.6485118110236221,2.0186519607843136,9.254044943820224,0.964240157480315
CAMP00095,2025-03-06,2025-03-13,Influencer,273631,24980,12288,5178,481.42,1430.1,197.0587013418636,7,9.129082596635616,49.19135308246597,20.728582866293035,0.019272217774219377,0.03917805989583333,0.0929741212823484,0.05724979983987189
CAMP00096,2025-12-11,2025-12-17,Social,19760,928,388,83,2037.55,5446.95,167.3284091187946,6,4.696356275303644,41.810344827586206,8.943965517241379,2.195635775862069,5.251417525773196,24.54879518072289,5.869558189655172
CAMP00097,2025-11-23,2025-12-08,Display,96975,9513,2203,1234,3744.47,9776.61,161.09462754408506,15,9.809744779582367,23.157784084936402,12.97172290549774,0.3936161042783559,1.6997140263277348,3.034416531604538,1.0277105014191108
CAMP00098,2025-01-09,2025-01-18,Search,97465,4132,1121,416,1140.34,2096.56,83.85393829910377,9,4.23947057918227,27.1297192642788,10.067763794772508,0.27597773475314613,1.0172524531668152,2.7412019230769227,0.5073959341723137
CAMP00099,2025-12-10,2025-12-18,Email,207899,16239,3154,1766,3796.9,10906.09,187.23669309173275,8,7.811004381935459,19.422378225260175,10.875053882628242,0.23381365847650717,1.2038363982244769,2.15,0.6715986206047171
CAMP00100,2025-05-09,2025-05-18,Social,296547,11116,3388,931,2692.17,3029.86,12.543412934547227,9,3.74847831878252,30.478589420654913,8.375314861460957,0.24218873695573948,0.7946192443919717,2.8916970998925886,0.2725674703130623
CAMP00101,2025-05-16,2025-05-28,Search,204109,3988,1532,405,1789.15,2237.56,25.06273928960679,12,1.9538579876438569,38.415245737211634,10.155466399197593,0.44863340020060183,1.1678524804177546,4.417654320987655,0.5610732196589769
CAMP00102,2025-03-04,2025-03-12,Search,120625,10250,3536,1991,1907.15,2848.22,49.34430957187425,8,8.49740932642487,34.49756097560975,19.42439024390244,0.18606341463414636,0.5393523755656109,0.9578854846810648,0.2778751219512195
CAMP00103,2025-05-19,2025-06-01,Search,6755,531,125,71,669.9,1529.64,128.33855799373043,13,7.860843819393041,23.540489642184557,13.370998116760829,1.2615819209039547,5.3591999999999995,9.435211267605634,2.880677966101695
CAMP00104,2025-03-22,2025-04-02,Social,133500,11194,4805,2434,1323.93,1765.74,33.3710996804967,11,8.38501872659176,42.924781132749686,21.743791316776846,0.11827139539038771,0.275531737773153,0.5439317995069844,0.15773986063962836
CAMP00105,2025-06-12,2025-06-26,Search,172230,6367,904,261,3683.0,6157.97,67.19983708932936,14,3.6968007896417583,14.19820951782629,4.099261818752945,0.5784513899795822,4.074115044247788,14.11111111111111,0.9671697816868228
CAMP00106,2025-10-16,2025-10-27,Email,76352,5598,879,236,4327.45,5861.25,35.44350599082601,11,7.331831517183571,15.702036441586282,4.215791354055019,0.7730350125044658,4.923151308304892,18.33665254237288,1.0470257234726688
CAMP00107,2025-09-18,2025-09-30,Display,203498,6062,1586,791,1401.43,3642.78,159.93306836588343,12,2.978899055518973,26.162982514021778,13.048498845265588,0.23118277796106895,0.883625472887768,1.7717193426042985,0.6009204882876938
CAMP00108,2025-08-19,2025-08-29,Social,117133,1290,491,222,2984.48,8411.37,181.83703693775803,10,1.1013121835861799,38.06201550387597,17.209302325581397,2.3135503875968992,6.078370672097759,13.443603603603604,6.520441860465117
CAMP00109,2025-02-10,2025-02-22,Search,12688,1116,421,231,270.16,729.65,170.08069292271244,12,8.795712484237074,37.72401433691756,20.698924731182796,0.24207885304659502,0.6417102137767221,1.1695238095238096,0.6538082437275985
CAMP00110,2025-01-28,2025-02-04,Influencer,240876,13758,3392,1053,479.29,505.48,5.464332658724362,7,5.711652468490012,24.654746329408344,7.65372873964239,0.0348371856374473,0.14130011792452832,0.4551661918328585,0.03674080534961477
CAMP00111,2025-05-15,2025-05-29,Display,175556,17297,6549,2083,4825.4,7886.67,63.440751025821704,14,9.852696575451708,37.86205700410476,12.042550731340695,0.27897323235243104,0.7368147808825775,2.3165626500240037,0.4559559461178239
CAMP00112,2025-07-20,2025-08-03,Social,195927,8748,1086,535,4492.88,10222.04,127.51642598956572,14,4.464928264098363,12.414266117969822,6.115683584819387,0.5135893918609968,4.137090239410681,8.397906542056075,1.1685002286236854
CAMP00113,2025-11-24,2025-11-29,Influencer,154651,14864,3210,985,498.28,498.97,0.13847635867384897,5,9.611318387853943,21.595801937567277,6.6267491926803,0.033522604951560814,0.15522741433021806,0.5058680203045685,0.033569025834230354
CAMP00114,2025-09-25,2025-10-05,Influencer,149086,9743,3678,1415,4129.41,10293.46,149.27192988828912,10,6.535154206297037,37.75017961613466,14.523247459714666,0.42383352150261727,1.122732463295269,2.918310954063604,1.056497998563071
CAMP00115,2025-02-02,2025-02-07,Search,53443,2998,520,212,602.27,1648.75,173.75595663074702,5,5.609715023482964,17.34489659773182,7.071380920613743,0.20089059372915277,1.1582115384615383,2.840896226415094,0.5499499666444296
CAMP00116,2025-02-17,2025-03-02,Social,178033,6632,1227,573,4159.67,4805.09,15.51613469337712,13,3.725152078547236,18.501206272617612,8.639927623642944,0.6272120024125453,3.390114099429503,7.259458987783595,0.7245310615199035
CAMP00117,2025-03-03,2025-03-09,Search,194986,16432,2214,747,4576.15,8522.82,86.24433202582958,6,8.42727170155806,13.473709834469327,4.546007789678676,0.278490141187926,2.0669150858175245,6.126037483266399,0.5186721032132424
CAMP00118,2025-08-04,2025-08-19,Email,41397,3501,860,467,850.12,1364.99,60.564390909518664,15,8.457134574969201,24.564410168523278,13.339045986860897,0.2428220508426164,0.9885116279069768,1.8203854389721628,0.3898857469294487
CAMP00119,2025-10-20,2025-10-26,Influencer,248818,11824,5083,1834,821.44,2377.15,189.3881476431632,6,4.752067776447041,42.98883626522327,15.51082543978349,0.06947225981055481,0.16160535117056857,0.4478953107960742,0.2010444857916103
CAMP00120,2025-04-09,2025-04-20,Email,183250,13827,6008,1301,4640.2,7653.87,64.94698504374811,11,7.54542974079127,43.451218630216246,9.409127070224923,0.3355897880957547,0.7723368841544607,3.566641045349731,0.5535452375786505
